"code","name_latin","name_english","name_french","name_spanish"
"OVEN","Seiurus aurocapilla","Ovenbird","Paruline couronnée","Reinita hornera"
"PABU","Passerina ciris","Painted Bunting","Passerin nonpareil","Azulillo sietecolores"
"PAJA","Stercorarius parasiticus","Parasitic Jaeger","Labbe parasite","Págalo parásito"
"PALO","Gavia pacifica","Pacific Loon","Plongeon du Pacifique","Colimbo del Pacífico"
"PARE","Myioborus pictus","Painted Redstart","Paruline à ailes blanches","Candelita aliblanca"
"PAWA","Setophaga palmarum","Palm Warbler","Paruline à couronne rousse","Reinita palmera"
"PBGR","Podilymbus podiceps","Pied-billed Grebe","Grèbe à bec bigarré","Zampullín picogrueso"
"PEFA","Falco peregrinus","Peregrine Falcon","Faucon pèlerin","Halcón peregrino"
"PESA","Calidris melanotos","Pectoral Sandpiper","Bécasseau à poitrine cendrée","Correlimos pectoral"
"PFGO","Anser brachyrhynchus","Pink-footed Goose","Oie à bec court","Ánsar piquicorto"
"PHAI","Phainopepla nitens","Phainopepla","Phénopèple luisant","Capulinero negro"
"PHVI","Vireo philadelphicus","Philadelphia Vireo","Viréo de Philadelphie","Vireo de Filadelfia"
"PIGR","Pinicola enucleator","Pine Grosbeak","Durbec des sapins","Camachuelo picogrueso"
"PIPL","Charadrius melodus","Piping Plover","Pluvier siffleur","Chorlitejo silbador"
"PISI","Spinus pinus","Pine Siskin","Tarin des pins","Jilguero de los pinos"
"PIWA","Setophaga pinus","Pine Warbler","Paruline des pins","Reinita del pinar"
"PIWO","Dryocopus pileatus","Pileated Woodpecker","Grand Pic","Picamaderos norteamericano"
"PLVI","Vireo plumbeus","Plumbeous Vireo","Viréo plombé","Vireo plomizo"
"POJA","Stercorarius pomarinus","Pomarine Jaeger","Labbe pomarin","Págalo pomarino"
"PRAW","Setophaga discolor","Prairie Warbler","Paruline des prés","Reinita galana"
"PRFA","Falco mexicanus","Prairie Falcon","Faucon des prairies","Halcón mexicano"
"PROW","Protonotaria citrea","Prothonotary Warbler","Paruline orangée","Reinita protonotaria"
"PUFI","Haemorhous purpureus","Purple Finch","Roselin pourpré","Camachuelo purpúreo"
"PUGA","Porphyrio martinicus","Purple Gallinule","Talève violacée","Calamoncillo americano"
"PUMA","Progne subis","Purple Martin","Hirondelle noire","Golondrina purpúrea"
"PUSA","Calidris maritima","Purple Sandpiper","Bécasseau violet","Correlimos oscuro"
"PYRR","Cardinalis sinuatus","Pyrrhuloxia","Cardinal pyrrhuloxia","Cardenal pardo"
"RAZO","Alca torda","Razorbill","Petit Pingouin","Alca común"
"RBGR","Pheucticus ludovicianus","Rose-breasted Grosbeak","Cardinal à poitrine rose","Picogrueso pechirrosado"
"RBGU","Larus delawarensis","Ring-billed Gull","Goéland à bec cerclé","Gaviota de Delaware"
"RBME","Mergus serrator","Red-breasted Merganser","Harle huppé","Serreta mediana"
"RBNU","Sitta canadensis","Red-breasted Nuthatch","Sittelle à poitrine rousse","Trepador canadiense"
"RBWO","Melanerpes carolinus","Red-bellied Woodpecker","Pic à ventre roux","Carpintero de Carolina"
"RCKI","Regulus calendula","Ruby-crowned Kinglet","Roitelet à couronne rubis","Reyezuelo rubí"
"RECR","Loxia curvirostra","Red Crossbill","Bec-croisé des sapins","Piquituerto común"
"REDH","Aythya americana","Redhead","Fuligule à tête rouge","Porrón americano"
"REEG","Egretta rufescens","Reddish Egret","Aigrette roussâtre","Garceta rojiza"
"REKN","Calidris canutus","Red Knot","Bécasseau maubèche","Correlimos gordo"
"REPH","Phalaropus fulicarius","Red Phalarope","Phalarope à bec large","Falaropo picogrueso"
"REVI","Vireo olivaceus","Red-eyed Vireo","Viréo aux yeux rouges","Vireo chiví"
"RHWO","Melanerpes erythrocephalus","Red-headed Woodpecker","Pic à tête rouge","Carpintero cabecirrojo"
"RIPH","Phasianus colchicus","Ring-necked Pheasant","Faisan de Colchide","Faisán vulgar"
"RLHA","Buteo lagopus","Rough-legged Hawk","Buse pattue","Busardo calzado"
"RNDU","Aythya collaris","Ring-necked Duck","Fuligule à collier","Porrón acollarado"
"RNGR","Podiceps grisegena","Red-necked Grebe","Grèbe jougris","Somormujo cuellirrojo"
"RNPH","Phalaropus lobatus","Red-necked Phalarope","Phalarope à bec étroit","Falaropo picofino"
"ROGO","Anser rossii","Ross's Goose","Oie de Ross","Ánsar de Ross"
"ROGU","Rhodostethia rosea","Ross's Gull","Mouette rosée","Gaviota rosada"
"ROPI","Columba livia","Rock Pigeon","Pigeon biset","Paloma bravía"
"ROPT","Lagopus muta","Rock Ptarmigan","Lagopède alpin","Lagópodo alpino"
"ROSP","Platalea ajaja","Roseate Spoonbill","Spatule rosée","Espátula rosada"
"ROWR","Salpinctes obsoletus","Rock Wren","Troglodyte des rochers","Cucarachero roquero"
"ROYT","Thalasseus maximus","Royal Tern","Sterne royale","Charrán real"
"RSHA","Buteo lineatus","Red-shouldered Hawk","Buse à épaulettes","Busardo de hombro rojo"
"RTHA","Buteo jamaicensis","Red-tailed Hawk","Buse à queue rousse","Busardo colirrojo"
"RTHU","Archilochus colubris","Ruby-throated Hummingbird","Colibri à gorge rubis","Colibrí gorjirrubí"
"RTLO","Gavia stellata","Red-throated Loon","Plongeon catmarin","Colimbo chico"
"RUBL","Euphagus carolinus","Rusty Blackbird","Quiscale rouilleux","Zanate canadiense"
"RUDU","Oxyura jamaicensis","Ruddy Duck","Érismature rousse","Malvasía canela"
"RUFF","Calidris pugnax","Ruff","Combattant varié","Combatiente"
"RUGR","Bonasa umbellus","Ruffed Grouse","Gélinotte huppée","Grévol engolado"
"RUHU","Selasphorus rufus","Rufous Hummingbird","Colibri roux","Colibrí rufo"
"RUTU","Arenaria interpres","Ruddy Turnstone","Tournepierre à collier","Vuelvepiedras común"
"RWBL","Agelaius phoeniceus","Red-winged Blackbird","Carouge à épaulettes","Sargento alirrojo"
"SACR","Antigone canadensis","Sandhill Crane","Grue du Canada","Grulla canadiense"
"SAGU","Xema sabini","Sabine's Gull","Mouette de Sabine","Gaviota de Sabine"
"SAND","Calidris alba","Sanderling","Bécasseau sanderling","Correlimos tridáctilo"
"SAPH","Sayornis saya","Say's Phoebe","Moucherolle à ventre roux","Mosquero llanero"
"SATE","Thalasseus sandvicensis","Sandwich Tern","Sterne caugek","Charrán patinegro"
"SATH","Oreoscoptes montanus","Sage Thrasher","Moqueur des armoises","Cuitlacoche de las artemisas"
"SAVS","Passerculus sandwichensis","Savannah Sparrow","Bruant des prés","Chingolo sabanero"
"SBDO","Limnodromus griseus","Short-billed Dowitcher","Bécassin roux","Agujeta gris"
"SBFL","Myiodynastes luteiventris","Sulphur-bellied Flycatcher","Tyran tigré","Bienteveo ventriazufrado"
"SBGU","Larus schistisagus","Slaty-backed Gull","Goéland à manteau ardoisé","Gaviota de Kamchatka"
"SCOR","Icterus parisorum","Scott's Oriole","Oriole jaune-verdâtre","Turpial de Scott"
"SCTA","Piranga olivacea","Scarlet Tanager","Piranga écarlate","Piranga escarlata"
"SEOW","Asio flammeus","Short-eared Owl","Hibou des marais","Búho campestre"
"SEPL","Charadrius semipalmatus","Semipalmated Plover","Pluvier semipalmé","Chorlitejo semipalmeado"
"SESA","Calidris pusilla","Semipalmated Sandpiper","Bécasseau semipalmé","Correlimos semipalmeado"
"SEWR","Cistothorus platensis","Sedge Wren","Troglodyte à bec court","Cucarachero sabanero"
"SHAS","Calidris acuminata","Sharp-tailed Sandpiper","Bécasseau à queue pointue","Correlimos acuminado"
"SIRU","Calliope calliope","Siberian Rubythroat","Rossignol calliope","Ruiseñor calíope"
"SMEW","Mergellus albellus","Smew","Harle piette","Serreta chica"
"SMLO","Calcarius pictus","Smith's Longspur","Plectrophane de Smith","Escribano de Smith"
"SNBU","Plectrophenax nivalis","Snow Bunting","Plectrophane des neiges","Escribano nival"
"SNEG","Egretta thula","Snowy Egret","Aigrette neigeuse","Garceta nívea"
"SNGO","Anser caerulescens","Snow Goose","Oie des neiges","Ánsar nival"
"SNOW","Bubo scandiacus","Snowy Owl","Harfang des neiges","Búho nival"
"SNPL","Charadrius nivosus","Snowy Plover","Pluvier neigeux","Chorlitejo nivoso"
"SORA","Porzana carolina","Sora","Marouette de Caroline","Polluela sora"
"SOSA","Tringa solitaria","Solitary Sandpiper","Chevalier solitaire","Andarríos solitario"
"SOSP","Melospiza melodia","Song Sparrow","Bruant chanteur","Chingolo cantor"
"SOTE","Onychoprion fuscatus","Sooty Tern","Sterne fuligineuse","Charrán sombrío"
"SPGR","Falcipennis canadensis","Spruce Grouse","Tétras du Canada","Gallo canadiense"
"SPPI","Anthus spragueii","Sprague's Pipit","Pipit de Sprague","Bisbita llanero"
"SPRE","Tringa erythropus","Spotted Redshank","Chevalier arlequin","Archibebe oscuro"
"SPSA","Actitis macularius","Spotted Sandpiper","Chevalier grivelé","Andarríos maculado"
"SPTO","Pipilo maculatus","Spotted Towhee","Tohi tacheté","Toquí moteado"
"SSHA","Accipiter striatus","Sharp-shinned Hawk","Épervier brun","Gavilán americano"
"STFL","Tyrannus forficatus","Scissor-tailed Flycatcher","Tyran à longue queue","Tijereta rosada"
"STGR","Tympanuchus phasianellus","Sharp-tailed Grouse","Tétras à queue fine","Gallo de las praderas rabudo"
"STKI","Elanoides forficatus","Swallow-tailed Kite","Naucler à queue fourchue","Elanio tijereta"
